review_id,review_text,rating,timestamp,branch
1,"Delivery was 40 minutes late and the food was cold.",2,2025-11-20 19:42,Indrapuri
2,"Amazing pizza! Super fresh and tasty. Loved it.",5,2025-11-21 13:15,MP Nagar
3,"The app kept crashing while placing the order. Very frustrating.",1,2025-11-19 20:10,Kolar Road
4,"Food quality is excellent but packaging could be better.",4,2025-11-18 18:30,Arera Colony
5,"Delivery boy was polite but order arrived late.",3,2025-11-17 21:45,Kolar Road
6,"Worst experience ever. Wrong order delivered!",1,2025-11-16 14:00,MP Nagar
7,"Loved the service. Quick delivery and nice behaviour.",5,2025-11-22 12:10,Indrapuri
8,"Average taste. Expected better for this price.",3,2025-11-21 16:25,Arera Colony
9,"The restaurant didnt respond to my queries. Poor support.",2,2025-11-20 17:50,Kolar Road
10,"Super fast delivery! Got my food in 15 minutes.",5,2025-11-19 11:40,MP Nagar
